onset
12.75
14.6
16.35
18.4
20.25
22.1
23.95
25.85
27.65
29.75
31.85
34.1
35.9
37.7
39.45
41.7
43.9
46.05
48.15
49.9
51.8
53.75
55.75
57.95
60.05
61.9
63.65
65.9
67.65
69.6
71.55
73.45
75.7
77.45
79.55
81.5
83.4
85.6
87.35
89.55
91.6
93.85
95.9
98.05
100.0
102.15
104.15
106.0
108.05
109.85
111.8
114.05
115.95
117.9
120.0
122.1
123.85
125.75
127.9
129.85
132.1
134.35
136.6
138.85
141.0
143.0
144.75
146.85
148.65
150.45
152.5
154.5
156.5
158.65
160.8
162.7
164.85
166.95
168.95
170.7
172.85
174.6
176.85
178.6
180.7
182.5
184.55
186.75
188.8
190.85
192.85
194.8
196.8
198.95
200.85
203.05
205.05
206.9
208.9
210.8
212.9
214.75
216.9
218.9
220.85
222.65
224.9
226.8
228.85
230.75
232.55
234.55
236.55
238.45
240.6
242.45
244.4
246.6
248.55
250.8
252.8
254.6
256.8
258.6
260.8
262.9
264.65
266.6
268.85
271.05
272.9
274.7
276.75
278.8
280.6
282.45
284.55
286.5
288.4
290.3
292.15
294.35
296.2
298.35
300.4
302.5
304.55
306.3
308.5
310.7
312.45
314.65
316.7
318.7
320.65
322.4
324.4
326.6
328.75
330.85
332.75
335.0
336.8
338.8
340.65
342.55
344.4
346.6
348.35
350.4
352.35
354.6
356.7
358.5
360.65
